date,Market_Index, Period,Market_Change
17-02-2023,17944.2,Post,61.80%
20-02-2023,17844.6,Post,60.90%
21-02-2023,17826.7,Post,60.74%
22-02-2023,17554.3,Post,58.28%
23-02-2023,17511.25,Post,57.90%
24-02-2023,17465.8,Post,57.49%
27-02-2023,17392.7,Post,56.83%
28-02-2023,17303.95,Post,56.03%
01-03-2023,17450.9,Post,57.35%
02-03-2023,17321.9,Post,56.19%
03-03-2023,17594.35,Post,58.65%
06-03-2023,17711.45,Post,59.70%
08-03-2023,17754.4,Post,60.09%
09-03-2023,17589.6,Post,58.60%
10-03-2023,17412.9,Post,57.01%
13-03-2023,17154.3,Post,54.68%
14-03-2023,17043.3,Post,53.68%
15-03-2023,16972.15,Post,53.04%
16-03-2023,16985.6,Post,53.16%
17-03-2023,17100.05,Post,54.19%
20-03-2023,16988.4,Post,53.18%
21-03-2023,17107.5,Post,54.26%
22-03-2023,17151.9,Post,54.66%
23-03-2023,17076.9,Post,53.98%
24-03-2023,16945.05,Post,52.79%
27-03-2023,16985.7,Post,53.16%
28-03-2023,16951.7,Post,52.85%
29-03-2023,17080.7,Post,54.01%
31-03-2023,17359.75,Post,56.53%
03-04-2023,17398.05,Post,56.88%
05-04-2023,17557.05,Post,58.31%
06-04-2023,17599.15,Post,58.69%
10-04-2023,17624.05,Post,58.91%
11-04-2023,17722.3,Post,59.80%
12-04-2023,17812.4,Post,60.61%
13-04-2023,17828,Post,60.75%
17-04-2023,17706.85,Post,59.66%
18-04-2023,17660.15,Post,59.24%
19-04-2023,17618.75,Post,58.87%
20-04-2023,17624.45,Post,58.92%
21-04-2023,17624.05,Post,58.91%
24-04-2023,17743.4,Post,59.99%
25-04-2023,17769.25,Post,60.22%
26-04-2023,17813.6,Post,60.62%
27-04-2023,17915.05,Post,61.54%
28-04-2023,18065,Post,62.89%
02-05-2023,18147.65,Post,63.64%
03-05-2023,18089.85,Post,63.11%
04-05-2023,18255.8,Post,64.61%
05-05-2023,18069,Post,62.93%
08-05-2023,18264.4,Post,64.69%
09-05-2023,18265.95,Post,64.70%
10-05-2023,18315.1,Post,65.14%
11-05-2023,18297,Post,64.98%
12-05-2023,18314.8,Post,65.14%
15-05-2023,18398.85,Post,65.90%
16-05-2023,18286.5,Post,64.89%
17-05-2023,18181.75,Post,63.94%
18-05-2023,18129.95,Post,63.48%
19-05-2023,18203.4,Post,64.14%
22-05-2023,18314.4,Post,65.14%
23-05-2023,18348,Post,65.44%
24-05-2023,18285.4,Post,64.88%
25-05-2023,18321.15,Post,65.20%
26-05-2023,18499.35,Post,66.81%
29-05-2023,18598.65,Post,67.70%
30-05-2023,18633.85,Post,68.02%
31-05-2023,18534.4,Post,67.12%
01-06-2023,18487.75,Post,66.70%
02-06-2023,18534.1,Post,67.12%
05-06-2023,18593.85,Post,67.66%
06-06-2023,18599,Post,67.70%
07-06-2023,18726.4,Post,68.85%
08-06-2023,18634.55,Post,68.03%
09-06-2023,18563.4,Post,67.38%
12-06-2023,18601.5,Post,67.73%
13-06-2023,18716.15,Post,68.76%
14-06-2023,18755.9,Post,69.12%
15-06-2023,18688.1,Post,68.51%
16-06-2023,18826,Post,69.75%
19-06-2023,18755.45,Post,69.12%
20-06-2023,18816.7,Post,69.67%
21-06-2023,18856.85,Post,70.03%
22-06-2023,18771.25,Post,69.26%
23-06-2023,18665.5,Post,68.30%
26-06-2023,18691.2,Post,68.54%
27-06-2023,18817.4,Post,69.67%
28-06-2023,18972.1,Post,71.07%
30-06-2023,19189.05,Post,73.03%
03-07-2023,19322.55,Post,74.23%
04-07-2023,19389,Post,74.83%
05-07-2023,19398.5,Post,74.91%
06-07-2023,19497.3,Post,75.80%
07-07-2023,19331.8,Post,74.31%
10-07-2023,19355.9,Post,74.53%
11-07-2023,19439.4,Post,75.28%
12-07-2023,19384.3,Post,74.79%
13-07-2023,19413.75,Post,75.05%
14-07-2023,19564.5,Post,76.41%
17-07-2023,19711.45,Post,77.74%
18-07-2023,19749.25,Post,78.08%
19-07-2023,19833.15,Post,78.83%
20-07-2023,19979.15,Post,80.15%
21-07-2023,19745,Post,78.04%
24-07-2023,19672.35,Post,77.38%
25-07-2023,19680.6,Post,77.46%
26-07-2023,19778.3,Post,78.34%
27-07-2023,19659.9,Post,77.27%
28-07-2023,19646.05,Post,77.15%
31-07-2023,19753.8,Post,78.12%
01-08-2023,19733.55,Post,77.93%
02-08-2023,19526.55,Post,76.07%
03-08-2023,19381.65,Post,74.76%
04-08-2023,19517,Post,75.98%
07-08-2023,19597.3,Post,76.71%
08-08-2023,19570.85,Post,76.47%
09-08-2023,19632.55,Post,77.02%
10-08-2023,19543.1,Post,76.22%
11-08-2023,19428.3,Post,75.18%
14-08-2023,19434.55,Post,75.24%
16-08-2023,19465,Post,75.51%
17-08-2023,19365.25,Post,74.61%
18-08-2023,19310.15,Post,74.12%
21-08-2023,19393.6,Post,74.87%
22-08-2023,19396.45,Post,74.90%
23-08-2023,19444,Post,75.32%
24-08-2023,19386.7,Post,74.81%
25-08-2023,19265.8,Post,73.72%
28-08-2023,19306.05,Post,74.08%
29-08-2023,19342.65,Post,74.41%
30-08-2023,19347.45,Post,74.45%
31-08-2023,19253.8,Post,73.61%
01-09-2023,19435.3,Post,75.25%
04-09-2023,19528.8,Post,76.09%
05-09-2023,19574.9,Post,76.50%
06-09-2023,19611.05,Post,76.83%
07-09-2023,19727.05,Post,77.88%
08-09-2023,19819.95,Post,78.71%
11-09-2023,19996.35,Post,80.30%
12-09-2023,19993.2,Post,80.28%
13-09-2023,20070,Post,80.97%
14-09-2023,20103.1,Post,81.27%
15-09-2023,20192.35,Post,82.07%
18-09-2023,20133.3,Post,81.54%
20-09-2023,19901.4,Post,79.45%
21-09-2023,19742.35,Post,78.01%
22-09-2023,19674.25,Post,77.40%
25-09-2023,19674.55,Post,77.40%
26-09-2023,19664.7,Post,77.31%
27-09-2023,19716.45,Post,77.78%
28-09-2023,19523.55,Post,76.04%
29-09-2023,19638.3,Post,77.08%
03-10-2023,19528.75,Post,76.09%
04-10-2023,19436.1,Post,75.25%
05-10-2023,19545.75,Post,76.24%
06-10-2023,19653.5,Post,77.21%
09-10-2023,19512.35,Post,75.94%
10-10-2023,19689.85,Post,77.54%
11-10-2023,19811.35,Post,78.64%
12-10-2023,19794,Post,78.48%
13-10-2023,19751.05,Post,78.09%
16-10-2023,19731.75,Post,77.92%
17-10-2023,19811.5,Post,78.64%
18-10-2023,19671.1,Post,77.37%
19-10-2023,19624.7,Post,76.95%
20-10-2023,19542.65,Post,76.21%
23-10-2023,19281.75,Post,73.86%
25-10-2023,19122.15,Post,72.42%
26-10-2023,18857.25,Post,70.03%
27-10-2023,19047.25,Post,71.75%
30-10-2023,19140.9,Post,72.59%
31-10-2023,19079.6,Post,72.04%
01-11-2023,18989.15,Post,71.22%
02-11-2023,19133.25,Post,72.52%
03-11-2023,19230.6,Post,73.40%
06-11-2023,19411.75,Post,75.03%
07-11-2023,19406.7,Post,74.99%
08-11-2023,19443.5,Post,75.32%
09-11-2023,19395.3,Post,74.88%
10-11-2023,19425.35,Post,75.16%
12-11-2023,19525.55,Post,76.06%
13-11-2023,19443.55,Post,75.32%
15-11-2023,19675.45,Post,77.41%
16-11-2023,19765.2,Post,78.22%
17-11-2023,19731.8,Post,77.92%
20-11-2023,19694,Post,77.58%
21-11-2023,19783.4,Post,78.38%
22-11-2023,19811.85,Post,78.64%
23-11-2023,19802,Post,78.55%
24-11-2023,19794.7,Post,78.49%
28-11-2023,19889.7,Post,79.34%
29-11-2023,20096.6,Post,81.21%
30-11-2023,20133.15,Post,81.54%
01-12-2023,20267.9,Post,82.75%
04-12-2023,20686.8,Post,86.53%
05-12-2023,20855.1,Post,88.05%
06-12-2023,20937.7,Post,88.79%
07-12-2023,20901.15,Post,88.46%
08-12-2023,20969.4,Post,89.08%
11-12-2023,20997.1,Post,89.33%
12-12-2023,20906.4,Post,88.51%
13-12-2023,20926.35,Post,88.69%
14-12-2023,21182.7,Post,91.00%
15-12-2023,21456.65,Post,93.47%
18-12-2023,21418.65,Post,93.13%
19-12-2023,21453.1,Post,93.44%
20-12-2023,21150.15,Post,90.71%
21-12-2023,21255.05,Post,91.65%
22-12-2023,21349.4,Post,92.50%
26-12-2023,21441.35,Post,93.33%
27-12-2023,21654.75,Post,95.26%
28-12-2023,21778.7,Post,96.38%
29-12-2023,21731.4,Post,95.95%
01-01-2024,21741.9,Post,96.04%
02-01-2024,21665.8,Post,95.36%
03-01-2024,21517.35,Post,94.02%
04-01-2024,21658.6,Post,95.29%
05-01-2024,21710.8,Post,95.76%
08-01-2024,21513,Post,93.98%
09-01-2024,21544.85,Post,94.27%
10-01-2024,21618.7,Post,94.93%
11-01-2024,21647.2,Post,95.19%
12-01-2024,21894.55,Post,97.42%
15-01-2024,22097.45,Post,99.25%
16-01-2024,22032.3,Post,98.66%
17-01-2024,21571.95,Post,94.51%
18-01-2024,21462.25,Post,93.52%
19-01-2024,21622.4,Post,94.97%
20-01-2024,21571.8,Post,94.51%
23-01-2024,21238.8,Post,91.51%
24-01-2024,21453.95,Post,93.45%
25-01-2024,21352.6,Post,92.53%
29-01-2024,21737.6,Post,96.01%
30-01-2024,21522.1,Post,94.06%
31-01-2024,21725.7,Post,95.90%
01-02-2024,21697.45,Post,95.64%
02-02-2024,21853.8,Post,97.05%
05-02-2024,21771.7,Post,96.31%
06-02-2024,21929.4,Post,97.73%
07-02-2024,21930.5,Post,97.74%
08-02-2024,21717.95,Post,95.83%
09-02-2024,21782.5,Post,96.41%
12-02-2024,21616.05,Post,94.91%
13-02-2024,21743.25,Post,96.06%
14-02-2024,21840.05,Post,96.93%
15-02-2024,21910.75,Post,97.57%
16-02-2024,22040.7,Post,98.74%
19-02-2024,22122.25,Post,99.47%
20-02-2024,22196.95,Post,100.15%
21-02-2024,22055.05,Post,98.87%
22-02-2024,22217.45,Post,100.33%
23-02-2024,22212.7,Post,100.29%
26-02-2024,22122.05,Post,99.47%
27-02-2024,22198.35,Post,100.16%
28-02-2024,21951.15,Post,97.93%
29-02-2024,21982.8,Post,98.22%
01-03-2024,22338.75,Post,101.43%
02-03-2024,22378.4,Post,101.78%
04-03-2024,22405.6,Post,102.03%
05-03-2024,22356.3,Post,101.58%
06-03-2024,22474.05,Post,102.65%
07-03-2024,22493.55,Post,102.82%
11-03-2024,22332.65,Post,101.37%
12-03-2024,22335.7,Post,101.40%
13-03-2024,21997.7,Post,98.35%
14-03-2024,22146.65,Post,99.69%
15-03-2024,22023.35,Post,98.58%
18-03-2024,22055.7,Post,98.87%
19-03-2024,21817.45,Post,96.73%
20-03-2024,21839.1,Post,96.92%
21-03-2024,22011.95,Post,98.48%
22-03-2024,22096.75,Post,99.24%
26-03-2024,22004.7,Post,98.41%
27-03-2024,22123.65,Post,99.49%
28-03-2024,22326.9,Post,101.32%
01-04-2024,22462,Post,102.54%
02-04-2024,22453.3,Post,102.46%
03-04-2024,22434.65,Post,102.29%
04-04-2024,22514.65,Post,103.01%
05-04-2024,22513.7,Post,103.00%
08-04-2024,22666.3,Post,104.38%
09-04-2024,22642.75,Post,104.17%
10-04-2024,22753.8,Post,105.17%
12-04-2024,22519.4,Post,103.05%
15-04-2024,22272.5,Post,100.83%
16-04-2024,22147.9,Post,99.70%
18-04-2024,21995.85,Post,98.33%
19-04-2024,22147,Post,99.70%
22-04-2024,22336.4,Post,101.40%
23-04-2024,22368,Post,101.69%
24-04-2024,22402.4,Post,102.00%
25-04-2024,22570.35,Post,103.51%
26-04-2024,22419.95,Post,102.16%
29-04-2024,22643.4,Post,104.17%
30-04-2024,22604.85,Post,103.83%
02-05-2024,22648.2,Post,104.22%
03-05-2024,22475.85,Post,102.66%
06-05-2024,22442.7,Post,102.36%
07-05-2024,22302.5,Post,101.10%
08-05-2024,22302.5,Post,101.10%
09-05-2024,21957.5,Post,97.99%
10-05-2024,22055.2,Post,98.87%
13-05-2024,22104.05,Post,99.31%
14-05-2024,22217.85,Post,100.34%
15-05-2024,22200.55,Post,100.18%
16-05-2024,22403.85,Post,102.01%
17-05-2024,22466.1,Post,102.57%
18-05-2024,22502,Post,102.90%
21-05-2024,22529.05,Post,103.14%
22-05-2024,22597.8,Post,103.76%
23-05-2024,22967.65,Post,107.10%
24-05-2024,22957.1,Post,107.00%
27-05-2024,22932.45,Post,106.78%
28-05-2024,22888.15,Post,106.38%
29-05-2024,22704.7,Post,104.73%
30-05-2024,22488.65,Post,102.78%
31-05-2024,22530.7,Post,103.16%
03-06-2024,23263.9,Post,109.77%
04-06-2024,21884.5,Post,97.33%
05-06-2024,22620.35,Post,103.96%
06-06-2024,22821.4,Post,105.78%
07-06-2024,23290.15,Post,110.00%
10-06-2024,23259.2,Post,109.73%
11-06-2024,23264.85,Post,109.78%
12-06-2024,23322.95,Post,110.30%
13-06-2024,23398.9,Post,110.98%
14-06-2024,23465.6,Post,111.59%
18-06-2024,23557.9,Post,112.42%
19-06-2024,23516,Post,112.04%
20-06-2024,23567,Post,112.50%
21-06-2024,23501.1,Post,111.91%
24-06-2024,23537.85,Post,112.24%
25-06-2024,23721.3,Post,113.89%
26-06-2024,23868.8,Post,115.22%
27-06-2024,24044.5,Post,116.81%
28-06-2024,24010.6,Post,116.50%
01-07-2024,24141.95,Post,117.68%
02-07-2024,24123.85,Post,117.52%
03-07-2024,24286.5,Post,118.99%
04-07-2024,24302.15,Post,119.13%
05-07-2024,24323.85,Post,119.33%
08-07-2024,24320.55,Post,119.30%
09-07-2024,24433.2,Post,120.31%
10-07-2024,24324.45,Post,119.33%
11-07-2024,24315.95,Post,119.25%
12-07-2024,24502.15,Post,120.93%
15-07-2024,24586.7,Post,121.70%
16-07-2024,24613,Post,121.93%
18-07-2024,24800.85,Post,123.63%
19-07-2024,24530.9,Post,121.19%
22-07-2024,24509.25,Post,121.00%
23-07-2024,24479.05,Post,120.72%
24-07-2024,24413.5,Post,120.13%
25-07-2024,24406.1,Post,120.07%
26-07-2024,24834.85,Post,123.93%
29-07-2024,24836.1,Post,123.94%
30-07-2024,24857.3,Post,124.14%
31-07-2024,24951.15,Post,124.98%
01-08-2024,25010.9,Post,125.52%
02-08-2024,24717.7,Post,122.88%
05-08-2024,24055.6,Post,116.91%
06-08-2024,23992.55,Post,116.34%
07-08-2024,24297.5,Post,119.09%
08-08-2024,24117,Post,117.46%
09-08-2024,24367.5,Post,119.72%
12-08-2024,24347,Post,119.53%
13-08-2024,24139,Post,117.66%
14-08-2024,24143.75,Post,117.70%
16-08-2024,24541.15,Post,121.28%
19-08-2024,24572.65,Post,121.57%
20-08-2024,24698.85,Post,122.71%
21-08-2024,24770.2,Post,123.35%
22-08-2024,24811.5,Post,123.72%
23-08-2024,24823.15,Post,123.83%
26-08-2024,25010.6,Post,125.52%
27-08-2024,25017.75,Post,125.58%
28-08-2024,25052.35,Post,125.89%
29-08-2024,25151.95,Post,126.79%
30-08-2024,25235.9,Post,127.55%
02-09-2024,25278.7,Post,127.93%
03-09-2024,25279.85,Post,127.95%
04-09-2024,25198.7,Post,127.21%
05-09-2024,25145.1,Post,126.73%
06-09-2024,24852.15,Post,124.09%
09-09-2024,24936.4,Post,124.85%
10-09-2024,25041.1,Post,125.79%
11-09-2024,24918.45,Post,124.69%
12-09-2024,25388.9,Post,128.93%
13-09-2024,25356.5,Post,128.64%
16-09-2024,25383.75,Post,128.88%
17-09-2024,25418.55,Post,129.20%
18-09-2024,25377.55,Post,128.83%
19-09-2024,25415.8,Post,129.17%
20-09-2024,25790.95,Post,132.55%
23-09-2024,25939.05,Post,133.89%
24-09-2024,25940.4,Post,133.90%
25-09-2024,26004.15,Post,134.48%
26-09-2024,26216.05,Post,136.39%
27-09-2024,26178.95,Post,136.05%
30-09-2024,25810.85,Post,132.73%
01-10-2024,25796.9,Post,132.61%
03-10-2024,25250.1,Post,127.68%
04-10-2024,25014.6,Post,125.55%
07-10-2024,24795.75,Post,123.58%
08-10-2024,25013.15,Post,125.54%
09-10-2024,24981.95,Post,125.26%
10-10-2024,24998.45,Post,125.41%
11-10-2024,24964.25,Post,125.10%
14-10-2024,25127.95,Post,126.58%
15-10-2024,25057.35,Post,125.94%
16-10-2024,24971.3,Post,125.16%
17-10-2024,24749.85,Post,123.17%
18-10-2024,24854.05,Post,124.11%
21-10-2024,24781.1,Post,123.45%
22-10-2024,24472.1,Post,120.66%
23-10-2024,24435.5,Post,120.33%
24-10-2024,24399.4,Post,120.01%
25-10-2024,24180.8,Post,118.04%
28-10-2024,24339.15,Post,119.46%
29-10-2024,24466.85,Post,120.61%
30-10-2024,24340.85,Post,119.48%
31-10-2024,24205.35,Post,118.26%
01-11-2024,24304.35,Post,119.15%
04-11-2024,23995.35,Post,116.36%
05-11-2024,24213.3,Post,118.33%
06-11-2024,24484.05,Post,120.77%
07-11-2024,24199.35,Post,118.20%
08-11-2024,24148.2,Post,117.74%
11-11-2024,24141.3,Post,117.68%
12-11-2024,23883.45,Post,115.35%
13-11-2024,23559.05,Post,112.43%
14-11-2024,23532.7,Post,112.19%
18-11-2024,23453.8,Post,111.48%
19-11-2024,23518.5,Post,112.06%
21-11-2024,23349.9,Post,110.54%
22-11-2024,23907.25,Post,115.57%
25-11-2024,24221.9,Post,118.41%
26-11-2024,24194.5,Post,118.16%
27-11-2024,24274.9,Post,118.88%
28-11-2024,23914.15,Post,115.63%
29-11-2024,24131.1,Post,117.59%
02-12-2024,24276.05,Post,118.89%
03-12-2024,24457.15,Post,120.53%
04-12-2024,24467.45,Post,120.62%
05-12-2024,24708.4,Post,122.79%
06-12-2024,24677.8,Post,122.52%
09-12-2024,24619,Post,121.99%
10-12-2024,24610.05,Post,121.91%
11-12-2024,24641.8,Post,122.19%
12-12-2024,24548.7,Post,121.35%
13-12-2024,24768.3,Post,123.33%
16-12-2024,24668.25,Post,122.43%
17-12-2024,24336,Post,119.43%
18-12-2024,24198.85,Post,118.20%
19-12-2024,23951.7,Post,115.97%
20-12-2024,23587.5,Post,112.69%
23-12-2024,23753.45,Post,114.18%
24-12-2024,23727.65,Post,113.95%
26-12-2024,23750.2,Post,114.15%
27-12-2024,23813.4,Post,114.72%
30-12-2024,23644.9,Post,113.20%
31-12-2024,23644.8,Post,113.20%
01-01-2025,23742.9,Post,114.09%
02-01-2025,24188.65,Post,118.11%
03-01-2025,24004.75,Post,116.45%
06-01-2025,23616.05,Post,112.94%
07-01-2025,23707.9,Post,113.77%
08-01-2025,23688.95,Post,113.60%
09-01-2025,23526.5,Post,112.14%
10-01-2025,23431.5,Post,111.28%
13-01-2025,23085.95,Post,108.16%
14-01-2025,23176.05,Post,108.98%
15-01-2025,23213.2,Post,109.31%
16-01-2025,23311.8,Post,110.20%
17-01-2025,23203.2,Post,109.22%
20-01-2025,23344.75,Post,110.50%
21-01-2025,23024.65,Post,107.61%
22-01-2025,23155.35,Post,108.79%
23-01-2025,23205.35,Post,109.24%
24-01-2025,23092.2,Post,108.22%
27-01-2025,22829.15,Post,105.85%
28-01-2025,22957.25,Post,107.00%
29-01-2025,23163.1,Post,108.86%
30-01-2025,23249.5,Post,109.64%
31-01-2025,23508.4,Post,111.97%
01-02-2025,23482.15,Post,111.74%
03-02-2025,23361.05,Post,110.64%
04-02-2025,23739.25,Post,114.05%
05-02-2025,23696.3,Post,113.67%
06-02-2025,23603.35,Post,112.83%
07-02-2025,23559.95,Post,112.44%
10-02-2025,23381.6,Post,110.83%
11-02-2025,23071.8,Post,108.04%
12-02-2025,23045.25,Post,107.80%
13-02-2025,23031.4,Post,107.67%
14-02-2025,22929.25,Post,106.75%
17-02-2025,22959.5,Post,107.02%
18-02-2025,22945.3,Post,106.89%
19-02-2025,22932.9,Post,106.78%
20-02-2025,22913.15,Post,106.61%
21-02-2025,22795.9,Post,105.55%
24-02-2025,22553.35,Post,103.36%
25-02-2025,22547.55,Post,103.31%
27-02-2025,22545.05,Post,103.29%
28-02-2025,22124.7,Post,99.50%
03-03-2025,22119.3,Post,99.45%
04-03-2025,22082.65,Post,99.12%
05-03-2025,22337.3,Post,101.41%
06-03-2025,22544.7,Post,103.28%
07-03-2025,22552.5,Post,103.35%
10-03-2025,22460.3,Post,102.52%
11-03-2025,22497.9,Post,102.86%
12-03-2025,22470.5,Post,102.61%
13-03-2025,22397.2,Post,101.95%
17-03-2025,22508.75,Post,102.96%
18-03-2025,22834.3,Post,105.89%
19-03-2025,22907.6,Post,106.55%
20-03-2025,23190.65,Post,109.11%
21-03-2025,23350.4,Post,110.55%
24-03-2025,23658.35,Post,113.32%
25-03-2025,23668.65,Post,113.42%
26-03-2025,23486.85,Post,111.78%
27-03-2025,23591.95,Post,112.73%
28-03-2025,23519.35,Post,112.07%
01-04-2025,23165.7,Post,108.88%
02-04-2025,23332.35,Post,110.38%
03-04-2025,23250.1,Post,109.64%
04-04-2025,22904.45,Post,106.53%
07-04-2025,22161.6,Post,99.83%
08-04-2025,22535.85,Post,103.20%
09-04-2025,22399.15,Post,101.97%
11-04-2025,22828.55,Post,105.84%
15-04-2025,23328.55,Post,110.35%
16-04-2025,23437.2,Post,111.33%
17-04-2025,23851.65,Post,115.07%
21-04-2025,24125.55,Post,117.54%
22-04-2025,24167.25,Post,117.91%
23-04-2025,24328.95,Post,119.37%
24-04-2025,24246.7,Post,118.63%
25-04-2025,24039.35,Post,116.76%
28-04-2025,24328.5,Post,119.37%
29-04-2025,24335.95,Post,119.43%
30-04-2025,24334.2,Post,119.42%
02-05-2025,24346.7,Post,119.53%
05-05-2025,24461.15,Post,120.56%
06-05-2025,24379.6,Post,119.83%
07-05-2025,24414.4,Post,120.14%
08-05-2025,24273.8,Post,118.87%
09-05-2025,24008,Post,116.48%
12-05-2025,24924.7,Post,124.74%
13-05-2025,24578.35,Post,121.62%
14-05-2025,24666.9,Post,122.42%
15-05-2025,25062.1,Post,125.98%
16-05-2025,25019.8,Post,125.60%
19-05-2025,24945.45,Post,124.93%
20-05-2025,24683.9,Post,122.57%
21-05-2025,24813.45,Post,123.74%
22-05-2025,24609.7,Post,121.90%
23-05-2025,24853.15,Post,124.10%
26-05-2025,25001.15,Post,125.43%
27-05-2025,24826.2,Post,123.85%
28-05-2025,24752.45,Post,123.19%
29-05-2025,24833.6,Post,123.92%
30-05-2025,24750.7,Post,123.17%
02-06-2025,24716.6,Post,122.87%
03-06-2025,24542.5,Post,121.30%
04-06-2025,24620.2,Post,122.00%
05-06-2025,24750.9,Post,123.18%
06-06-2025,25003.05,Post,125.45%
09-06-2025,25103.2,Post,126.35%
10-06-2025,25104.25,Post,126.36%
11-06-2025,25141.4,Post,126.70%
12-06-2025,24888.2,Post,124.41%
13-06-2025,24718.6,Post,122.88%
16-06-2025,24946.5,Post,124.94%
17-06-2025,24853.4,Post,124.10%
18-06-2025,24812.05,Post,123.73%
19-06-2025,24793.25,Post,123.56%
20-06-2025,25112.4,Post,126.44%
23-06-2025,24971.9,Post,125.17%
24-06-2025,25044.35,Post,125.82%
25-06-2025,25244.75,Post,127.63%
26-06-2025,25549,Post,130.37%
27-06-2025,25637.8,Post,131.17%
30-06-2025,25517.05,Post,130.08%
01-07-2025,25541.8,Post,130.31%
02-07-2025,25453.4,Post,129.51%
03-07-2025,25405.3,Post,129.08%
04-07-2025,25461,Post,129.58%
07-07-2025,25461.3,Post,129.58%
08-07-2025,25522.5,Post,130.13%
09-07-2025,25476.1,Post,129.71%
10-07-2025,25355.25,Post,128.63%
11-07-2025,25149.85,Post,126.77%
14-07-2025,25082.3,Post,126.16%
15-07-2025,25195.8,Post,127.19%
16-07-2025,25212.05,Post,127.33%
17-07-2025,25111.45,Post,126.43%
18-07-2025,24968.4,Post,125.14%
21-07-2025,25090.7,Post,126.24%
22-07-2025,25060.9,Post,125.97%
23-07-2025,25219.9,Post,127.40%
24-07-2025,25062.1,Post,125.98%
25-07-2025,24837,Post,123.95%
28-07-2025,24680.9,Post,122.54%
29-07-2025,24821.1,Post,123.81%
30-07-2025,24855.05,Post,124.11%
31-07-2025,24768.35,Post,123.33%
01-08-2025,24565.35,Post,121.50%
04-08-2025,24722.75,Post,122.92%
05-08-2025,24649.55,Post,122.26%
06-08-2025,24574.2,Post,121.58%
07-08-2025,24596.15,Post,121.78%
08-08-2025,24363.3,Post,119.68%
11-08-2025,24585.05,Post,121.68%
12-08-2025,24487.4,Post,120.80%
13-08-2025,24619.35,Post,121.99%
14-08-2025,24631.3,Post,122.10%
18-08-2025,24876.95,Post,124.31%
19-08-2025,24980.65,Post,125.25%
20-08-2025,25050.55,Post,125.88%
21-08-2025,25083.75,Post,126.18%
22-08-2025,24870.1,Post,124.25%
25-08-2025,24967.75,Post,125.13%
26-08-2025,24712.05,Post,122.83%
28-08-2025,24500.9,Post,120.92%
29-08-2025,24426.85,Post,120.25%
01-09-2025,24625.05,Post,122.04%
02-09-2025,24579.6,Post,121.63%
03-09-2025,24715.05,Post,122.85%
04-09-2025,24734.3,Post,123.03%
05-09-2025,24741,Post,123.09%
08-09-2025,24773.15,Post,123.38%
09-09-2025,24868.6,Post,124.24%
10-09-2025,24973.1,Post,125.18%
11-09-2025,25005.5,Post,125.47%
12-09-2025,25114,Post,126.45%
15-09-2025,25069.2,Post,126.05%
16-09-2025,25239.1,Post,127.58%
17-09-2025,25330.25,Post,128.40%
18-09-2025,25423.6,Post,129.24%
19-09-2025,25327.05,Post,128.37%
22-09-2025,25202.35,Post,127.25%
23-09-2025,25169.5,Post,126.95%
24-09-2025,25056.9,Post,125.93%
25-09-2025,24890.85,Post,124.44%
26-09-2025,24654.7,Post,122.31%
29-09-2025,24634.9,Post,122.13%
30-09-2025,24611.1,Post,121.92%
01-10-2025,24836.3,Post,123.95%
03-10-2025,24894.25,Post,124.47%
06-10-2025,25077.65,Post,126.12%
07-10-2025,25108.3,Post,126.40%
08-10-2025,25046.15,Post,125.84%
09-10-2025,25181.8,Post,127.06%
10-10-2025,25285.35,Post,127.99%
13-10-2025,25227.35,Post,127.47%
14-10-2025,25145.5,Post,126.73%
15-10-2025,25323.55,Post,128.34%
16-10-2025,25585.3,Post,130.70%
17-10-2025,25709.85,Post,131.82%
20-10-2025,25843.15,Post,133.02%
21-10-2025,25868.6,Post,133.25%
23-10-2025,25891.4,Post,133.46%
24-10-2025,25795.15,Post,132.59%
27-10-2025,25966.05,Post,134.13%
28-10-2025,25936.2,Post,133.86%
29-10-2025,26053.9,Post,134.92%
30-10-2025,25877.85,Post,133.34%
31-10-2025,25722.1,Post,131.93%
03-11-2025,25763.35,Post,132.30%
04-11-2025,25597.65,Post,130.81%
06-11-2025,25509.7,Post,130.02%
07-11-2025,25492.3,Post,129.86%
10-11-2025,25574.35,Post,130.60%
11-11-2025,25694.95,Post,131.69%
12-11-2025,25875.8,Post,133.32%
13-11-2025,25879.15,Post,133.35%
14-11-2025,25910.05,Post,133.63%
17-11-2025,26013.45,Post,134.56%
18-11-2025,25910.05,Post,133.63%
19-11-2025,26052.65,Post,134.91%
20-11-2025,26192.15,Post,136.17%
21-11-2025,26068.15,Post,135.05%
24-11-2025,25959.5,Post,134.07%
25-11-2025,25884.8,Post,133.40%
26-11-2025,26205.3,Post,136.29%
27-11-2025,26215.55,Post,136.38%
28-11-2025,26202.95,Post,136.27%
01-12-2025,26175.75,Post,136.02%
02-12-2025,26032.2,Post,134.73%
03-12-2025,25986,Post,134.31%
04-12-2025,26033.75,Post,134.74%
05-12-2025,26186.45,Post,136.12%
08-12-2025,25960.55,Post,134.08%
09-12-2025,25839.65,Post,132.99%
10-12-2025,25758,Post,132.26%
11-12-2025,25898.55,Post,133.52%
12-12-2025,26046.95,Post,134.86%
15-12-2025,26027.3,Post,134.68%
16-12-2025,25860.1,Post,133.18%
17-12-2025,25818.55,Post,132.80%
